"","V1","V2","V3"
"site","station1","station2","station3"
"richness_Mean","5.333333","3.666667","5.333333"
"richness_SD","0.5773503","1.5275252","1.5275252"
"richness_min","5","2","4"
"shannon_Mean","1.242957","1.120620","1.310140"
"shannon_SD","0.1712102","0.5389593","0.3771780"
"shannon_min","1.0560527","0.5004024","1.0172314"
"abundance_Mean","40.00000","20.00000","63.33333"
"abundance_SD"," 9.539392","26.851443","16.196707"
"abundance_min","29"," 4","53"
"simpson_Mean","0.6237996","0.6068269","0.6788509"
"simpson_SD","0.1161854","0.2483995","0.1117667"
"simpson_min","0.4924386","0.3200000","0.5745817"
"evenness_Mean","0.7500362","0.8794997","0.7911290"
"evenness_SD","0.1433745","0.1426944","0.1394131"
"evenness_min","0.5893942","0.7219281","0.6320414"
